recip_county,year_week,cdc_lineage_simple,first_delta
Montgomery County,2020 - 44,Other,Before Delta
Montgomery County,2020 - 45,Other,Before Delta
Montgomery County,2020 - 46,Other,Before Delta
Montgomery County,2020 - 47,Other,Before Delta
Montgomery County,2020 - 48,Other,Before Delta
Montgomery County,2020 - 49,Other,Before Delta
Montgomery County,2020 - 50,Other,Before Delta
Montgomery County,2020 - 51,Other,Before Delta
Montgomery County,2020 - 52,Other,Before Delta
Montgomery County,2020 - 53,Other,Before Delta
Montgomery County,2021 - 01,Other,Before Delta
Montgomery County,2021 - 02,Other,Before Delta
Montgomery County,2021 - 03,Other,Before Delta
Montgomery County,2021 - 04,Other,Before Delta
Montgomery County,2021 - 05,Other,Before Delta
Montgomery County,2021 - 06,Other,Before Delta
Montgomery County,2021 - 07,Other,Before Delta
Montgomery County,2021 - 08,Other,Before Delta
Montgomery County,2021 - 09,Other,Before Delta
Montgomery County,2021 - 10,Other,Before Delta
Montgomery County,2021 - 11,Other,Before Delta
Montgomery County,2021 - 12,Other,Before Delta
Montgomery County,2021 - 13,Alpha,Before Delta
Montgomery County,2021 - 14,Alpha,Before Delta
Montgomery County,2021 - 15,Alpha,Delta
Montgomery County,2021 - 16,Alpha,Delta
Montgomery County,2021 - 17,Alpha,Delta
Montgomery County,2021 - 18,Alpha,Delta
Montgomery County,2021 - 19,Alpha,Delta
Montgomery County,2021 - 20,Alpha,Delta
Montgomery County,2021 - 21,Alpha,Delta
Montgomery County,2021 - 22,Alpha,Delta
Montgomery County,2021 - 23,Alpha,Delta
Montgomery County,2021 - 24,Alpha,Delta
Montgomery County,2021 - 25,Delta,Delta
Montgomery County,2021 - 26,Delta,Delta
Montgomery County,2021 - 27,Delta,Delta
Montgomery County,2021 - 28,Delta,Delta
Montgomery County,2021 - 29,Delta,Delta
Montgomery County,2021 - 30,Delta,Delta
Montgomery County,2021 - 31,Delta,Delta
Montgomery County,2021 - 32,Delta,Delta
Montgomery County,2021 - 33,Delta,Delta
Montgomery County,2021 - 34,Delta,Delta
Montgomery County,2021 - 35,Delta,Delta
Montgomery County,2021 - 36,Delta,Delta
Montgomery County,2021 - 37,Delta,Delta
Montgomery County,2021 - 38,Delta,Delta
Montgomery County,2021 - 39,Delta,Delta
New Castle County,2020 - 07,Other,Before Delta
New Castle County,2020 - 08,Other,Before Delta
New Castle County,2020 - 09,Other,Before Delta
New Castle County,2020 - 10,Other,Before Delta
New Castle County,2020 - 11,Other,Before Delta
New Castle County,2020 - 12,Other,Before Delta
New Castle County,2020 - 13,Other,Before Delta
New Castle County,2020 - 14,Other,Before Delta
New Castle County,2020 - 15,Other,Before Delta
New Castle County,2020 - 16,Other,Before Delta
New Castle County,2020 - 17,Other,Before Delta
New Castle County,2020 - 18,Other,Before Delta
New Castle County,2020 - 19,Other,Before Delta
New Castle County,2020 - 20,Other,Before Delta
New Castle County,2020 - 21,Other,Before Delta
New Castle County,2020 - 22,Other,Before Delta
New Castle County,2020 - 23,Other,Before Delta
New Castle County,2020 - 24,Other,Before Delta
New Castle County,2020 - 25,Other,Before Delta
New Castle County,2020 - 26,Other,Before Delta
New Castle County,2020 - 27,Other,Before Delta
New Castle County,2020 - 28,Other,Before Delta
New Castle County,2020 - 29,Other,Before Delta
New Castle County,2020 - 30,Other,Before Delta
New Castle County,2020 - 31,Other,Before Delta
New Castle County,2020 - 32,Other,Before Delta
New Castle County,2020 - 33,Other,Before Delta
New Castle County,2020 - 34,Other,Before Delta
New Castle County,2020 - 35,Other,Before Delta
New Castle County,2020 - 36,Other,Before Delta
New Castle County,2020 - 37,Other,Before Delta
New Castle County,2020 - 38,Other,Before Delta
New Castle County,2020 - 39,Other,Before Delta
New Castle County,2020 - 40,Other,Before Delta
New Castle County,2020 - 41,Other,Before Delta
New Castle County,2020 - 42,Other,Before Delta
New Castle County,2020 - 43,Other,Before Delta
New Castle County,2020 - 44,Other,Before Delta
New Castle County,2020 - 45,Other,Before Delta
New Castle County,2020 - 46,Other,Before Delta
New Castle County,2020 - 47,Other,Before Delta
New Castle County,2020 - 48,Other,Before Delta
New Castle County,2020 - 49,Other,Before Delta
New Castle County,2020 - 50,Other,Before Delta
New Castle County,2020 - 51,Other,Before Delta
New Castle County,2020 - 52,Other,Before Delta
New Castle County,2020 - 53,Other,Before Delta
New Castle County,2021 - 01,Other,Before Delta
New Castle County,2021 - 02,Other,Before Delta
New Castle County,2021 - 03,Other,Before Delta
New Castle County,2021 - 04,Other,Before Delta
New Castle County,2021 - 05,Other,Before Delta
New Castle County,2021 - 06,Other,Before Delta
New Castle County,2021 - 07,Other,Before Delta
New Castle County,2021 - 08,Other,Before Delta
New Castle County,2021 - 09,Other,Before Delta
